ID,Session,note_quality,food_present,no_intx_yes_no,Hyena,Time,Order,Behavior,Target,Distance,Leader Y/N?,Food,Notes
4933,t37838,2,TRUE,FALSE,mrs,00-Jan-00,1,incomplete scan,,15-35,FALSE,,
4934,t37838,2,TRUE,FALSE,csn,00-Jan-00,1,incomplete scan,,14-36,FALSE,,
4935,t37838,2,TRUE,FALSE,nxn,00-Jan-00,1,incomplete scan,,50,FALSE,,
4936,t37838,2,TRUE,FALSE,adon,00-Jan-00,1,incomplete scan,,28,FALSE,,
4937,t37838,2,TRUE,FALSE,unid,00-Jan-00,1,incomplete scan,,27-29,FALSE,,
4938,t37838,2,TRUE,FALSE,bca,00-Jan-00,1,low,,,FALSE,,
4939,t37838,2,TRUE,FALSE,boa,00-Jan-00,2,fd,,,FALSE,rib bone?,
4940,t37838,2,TRUE,FALSE,bca,00-Jan-00,1,fd,,,FALSE,dom cattle carcass,
4941,t37838,2,TRUE,FALSE,vgs,00-Jan-00,1,bo,lion,,FALSE,,scan
4942,t37838,2,TRUE,FALSE,mrs,00-Jan-00,1,fd,,,FALSE,,scan
4943,t37838,2,TRUE,FALSE,nick,00-Jan-00,1,scan,,100,FALSE,,
4944,t37838,2,TRUE,FALSE,yog,00-Jan-00,1,scan,,50,FALSE,,
4945,t37838,2,TRUE,FALSE,mali,00-Jan-00,1,whoop,,,FALSE,,
4946,t37838,2,TRUE,FALSE,mali,00-Jan-00,1,mob,lion,1,FALSE,,
4947,t37838,2,TRUE,FALSE,bacc,00-Jan-00,1,mob,lion,1,FALSE,,
4948,t37838,2,TRUE,FALSE,nav,00-Jan-00,1,mob,lion,1,FALSE,,
4949,t37838,2,TRUE,FALSE,boa,00-Jan-00,1,mob,lion,1,FALSE,,
4950,t37838,2,TRUE,FALSE,zc,00-Jan-00,1,mob,lion,1,FALSE,,
4951,t37838,2,TRUE,FALSE,nick,00-Jan-00,1,mob,lion,1,FALSE,,
4952,t37838,2,TRUE,FALSE,mln,00-Jan-00,1,mob,lion,1,FALSE,,
4953,t37838,2,TRUE,FALSE,yog,00-Jan-00,1,mob,lion,1,FALSE,,
